No,Search Term,Platform,Modifier Type,Modifier,Keyword,Language,Country,Search Vol.,CPC (US$)
1,"dubai real estate","Amazon","Alphabeticals","b","dubai real estate books","en","ae","0","-"
2,"dubai real estate","Amazon","Alphabeticals","b","dubai real estate beyond","en","ae","0","-"
3,"dubai real estate","Amazon","Alphabeticals","b","dubai real estate beyond headlines","en","ae","0","-"
4,"dubai real estate","Amazon","Alphabeticals","e","the essential guide to the dubai real estate market","en","ae","20","2.59"
5,"dubai real estate","Amazon","Alphabeticals","g","the essential guide to the dubai real estate market","en","ae","20","2.59"
6,"dubai real estate","Amazon","Alphabeticals","h","dubai real estate beyond headlines","en","ae","0","-"
7,"dubai real estate","Amazon","Alphabeticals","m","dubai real estate map","en","ae","260","1.78"
8,"dubai real estate","Amazon","Alphabeticals","m","the essential guide to the dubai real estate market","en","ae","20","2.59"
9,"dubai real estate","Amazon","Alphabeticals","m","dubai map 2025 real estate wall poster","en","ae","0","-"
10,"dubai real estate","Amazon","Alphabeticals","m","dubai map 2025 real estate","en","ae","0","-"
11,"dubai real estate","Amazon","Alphabeticals","p","dubai map 2025 real estate wall poster","en","ae","0","-"
12,"dubai real estate","Amazon","Alphabeticals","w","dubai map 2025 real estate wall poster","en","ae","0","-"
13,"dubai real estate","Amazon","Numbers","1","dubai real estate 101","en","ae","0","-"
14,"dubai real estate","Amazon","Numbers","2","dubai map 2025 real estate wall poster","en","ae","0","-"
15,"dubai real estate","Amazon","Numbers","2","dubai map 2025 real estate","en","ae","0","-"
16,"dubai real estate","Amazon","Prepositions","for","dubai map for real estate","en","ae","260","6.53"
17,"dubai real estate","Amazon","Prepositions","to","the essential guide to the dubai real estate market","en","ae","20","2.59"
